,Energy (kCal),Carbs (g),Dietary Fiber (g),Total Sugar (g),Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Protein (g),Sodium (mg)
Constant,"1.276e+04∗∗∗
(3,038)","2,029∗∗∗
(392.3)","108∗∗∗
(24.71)","801.2∗∗
(198)","362.1
(157.6)","138.4
(49.35)","96.44
(57.33)","95.42
(56.86)","374.6∗∗∗
(77.32)","2.44e+04
(8,565)"
MPC SNAP,"24.34∗∗∗
(5.839)","2.987∗∗
(0.7602)","0.07282
(0.03859)","1.768∗∗∗
(0.3972)","1.042∗∗
(0.2847)","0.3525∗∗∗
(0.08636)","0.3963∗∗
(0.1072)","0.2087
(0.08916)","0.7429∗∗
(0.1907)","42.29
(20.02)"
Income,"4.628∗∗
(1.27)","0.4658
(0.1652)","0.03315∗∗∗
(0.007413)","0.2106
(0.1128)","0.2464∗∗
(0.06745)","0.05685
(0.03283)","0.09951∗∗∗
(0.02204)","0.07378∗∗∗
(0.01719)","0.1354∗∗∗
(0.02941)","3.874
(4.445)"
Income^2,"-0.000215
(0.0002008)","-1.913e-05
(2.566e-05)","-1.854e-06
(9.668e-07)","-4.11e-06
(1.922e-05)","-1.111e-05
(1.035e-05)","-1.171e-07
(6.332e-06)","-5.512e-06
(2.516e-06)","-4.63e-06∗
(1.445e-06)","-8.64e-06
(3.407e-06)","-0.000113
(0.0005814)"
School Breakfast,"-5,902∗∗∗
(1,225)","-705.9∗∗∗
(166.9)","-46.68∗∗∗
(8.979)","-285.8∗
(91.01)","-257.1∗∗∗
(58.22)","-75.28∗∗∗
(17.56)","-89.99∗∗∗
(21.07)","-74.58∗∗
(19.3)","-189.6∗∗∗
(36.86)","-2.118e+04∗∗∗
(4,329)"
WIC,"-536.2
(1,603)","-91.36
(207)","-4.801
(10.97)","-18.19
(106)","-19.52
(83.66)","-8.426
(23)","-3.673
(31.43)","-8.493
(28.52)","5.222
(47.15)","-171.5
(4,898)"
Female Head,"3,137
(1,384)","359.9
(182.2)","18.91
(10.46)","217.5
(99.02)","198.6
(71.64)","44.36
(21.32)","80.67∗
(26.15)","66.29
(24.6)","20.09
(48.24)","6,399
(5,205)"
Black,"-4,040
(1,714)","-573.7
(235.2)","-34.09∗
(10.95)","-316.1
(140.9)","-134.3
(83.44)","-93.02∗∗
(24.33)","-33.33
(31.35)","5.685
(26.95)","-154.8∗
(48.09)","-8,053
(5,917)"
Hispanic,"-3,252
(1,365)","-376.1
(186.9)","-6.856
(10.21)","-277.1
(97.62)","-158.7
(69.79)","-71.21∗∗
(19.28)","-57.51
(27.66)","-17.25
(24.86)","-87.71
(37.08)","-7,100
(4,895)"
Midwest,"4,559
(2,450)","445.2
(313.5)","7.784
(21.09)","363.4
(143)","206.4
(124.2)","87.32
(33.5)","78.26
(44.49)","19.31
(47.24)","228.4∗
(73.51)","2.476e+04∗
(7,894)"
South,"872
(2,074)","72.3
(266.6)","-3.605
(18.74)","178.5
(120.8)","36.01
(106.9)","17.15
(27.84)","19.61
(36.99)","-4.94
(42.9)","47.18
(53.34)","1.125e+04
(5,982)"
West,"-1,040
(2,193)","-260
(282.7)","0.5969
(19.86)","-32.25
(129.3)","-14.23
(113.1)","17.99
(30.24)","-9.246
(38.94)","-24.03
(44.86)","24.24
(55.57)","1,468
(5,282)"
Guest Meals,"2,350
(856.5)","318.9
(121.9)","13.81
(5.736)","180.3
(73.16)","101.2
(39.52)","31.36
(11.58)","39.79
(15.18)","23.54
(12.18)","46.32
(23.89)","8,163
(5,181)"
Non-Metro,"4,889
(2,510)","473.5
(335.5)","6.308
(14.93)","322.9
(205.7)","252.9
(125.2)","110.9
(40.02)","73.16
(45.75)","45.51
(38.57)","190.6
(101.3)","2,058
(7,482)"
